Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Q,,04/11/2020 07:21:17 PM,Exercise Equipment,Q021-ZN02,Cunningham Park,Q021,Cunningham Park Zone 2,Active,POINT (-73.77359003192625 40.729693740059986),"14,508",25,3,16,65
Q,Completely Locked,04/11/2020 07:14:21 PM,Exercise Equipment,Q001-ZN01,Alley Pond Park,Q001,Alley Pond Park Zone 1,COVID-19 Closure,POINT (-73.73626821207041 40.73949215306537),"24,336",63,3,16,63
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B137,Sixteen Sycamores Playground,B137,Sixteen Sycamores Playground,Active,POINT (-73.9810056827376 40.68679172680519),"17,619",68,2,38,54
M,,04/09/2020 03:22:58 PM,Exercise Equipment,M042-ZN02,Inwood Hill Park,M042,Inwood Hill Park Zone 2,Active,POINT (-73.92092619021308 40.8735438456456),"13,092",,,,
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN05A,Bronx Park,X002,Bronx River Parkway East (South Half),Active,POINT (-73.86785687192702 40.88135843429829),"11,605",29,5,2,30
Q,,04/11/2020 05:48:33 PM,Exercise Equipment,Q471-ZN02,Hunter's Point South Park,Q471,Hunter's Point South Park Zone 2,Active,POINT (-73.96159862999801 40.739425621922614),"16,858",53,3,33,66
X,Completely Locked,04/10/2020 02:23:28 PM,Exercise Equipment,X160,Caserta Playground,X160,Caserta Playground,COVID-19 Closure,POINT (-73.85402945321134 40.837337871100985),"11,271",58,5,31,26
M,Taped Off,04/10/2020 01:12:14 PM,Exercise Equipment,M011,Chelsea Park,M011,Chelsea Park,COVID-19 Closure,POINT (-74.00072824876388 40.74994165135954),"11,722",12,4,10,6
Q,Temporary Fencing,04/11/2020 06:46:33 PM,Exercise Equipment,Q128,London Planetree Playground,Q128,London Planetree Playground,COVID-19 Closure,POINT (-73.85324212334196 40.686139829325434),"24,012",46,3,41,60
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN01,Bronx Park,X002,Bronx Park Zone 1,Active,POINT (-73.87018555214237 40.852440598005614),"11,271",28,5,22,32
Q,Temporary Fencing,04/11/2020 07:27:48 PM,Exercise Equipment,Q437,Murray Hill Playground,Q437,Murray Hill Playground,COVID-19 Closure,POINT (-73.81183043181511 40.76166701382999),"14,190",22,3,3,67
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B106B,Lafayette Playground,B106B,Lafayette Playground,Active,POINT (-73.98528984420022 40.59450882940557),"17,616",21,2,45,35
B,,04/10/2020 04:00:56 PM,Exercise Equipment,B068,Parade Ground,B068,Parade Ground,Active,POINT (-73.96835365164006 40.65086462836489),"17,620",60,2,11,43
B,Partially Locked,04/10/2020 11:59:53 AM,Exercise Equipment,B217,Marcy Playground,B217,Marcy Playground,COVID-19 Closure,POINT (-73.95091349362018 40.695521393912465),"17,213",69,2,49,51
X,Completely Locked,04/10/2020 10:30:15 AM,Exercise Equipment,X174,Webster Playground,X174,Webster Playground,COVID-19 Closure,POINT (-73.89289227408571 40.85938386044433),"10,936",35,5,22,31
M,Completely Locked,04/09/2020 03:22:58 PM,Exercise Equipment,M238,Bloomingdale Playground,M238,Bloomingdale Playground,COVID-19 Closure,POINT (-73.96600104027476 40.79917221464702),"12,422",20,4,23,15
X,Completely Locked,04/10/2020 10:29:33 AM,Exercise Equipment,X102,Ciccarone Park,X102,Ciccarone Park,COVID-19 Closure,POINT (-73.8867043823755 40.855966189629186),"10,936",35,5,22,31
B,Partially Locked,04/10/2020 12:28:55 PM,Exercise Equipment,B381,Thomas Boyland Park,B381,Thomas Boyland Park,COVID-19 Closure,POINT (-73.90754695317372 40.68174274121655),"17,214",42,2,37,53
X,Completely Locked,04/10/2020 10:12:25 AM,Exercise Equipment,X211,Stebbins Playground,X211,Stebbins Playground,COVID-19 Closure,POINT (-73.89851728719871 40.822767330766645),"10,937",8,5,43,24
Q,Completely Locked,04/11/2020 07:36:24 PM,Exercise Equipment,Q382,Cardozo Playground,Q382,Cardozo Playground,COVID-19 Closure,POINT (-73.78656811018509 40.59323900596114),"20,530",51,3,47,59
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B252,West Playground,B252,West Playground,Active,POINT (-73.9700708438389 40.58708392303859),"18,183",21,2,45,35
M,,04/14/2020 03:44:24 PM,Exercise Equipment,M045,John Jay Park,M045,John Jay Park,Active,POINT (-73.94948322669356 40.769238835653574),"10,352",23,4,1,11
X,Temporary Fencing,04/10/2020 02:45:24 PM,Exercise Equipment,X030,Macombs Dam Park,X030,Macombs Dam Park,COVID-19 Closure,POINT (-73.92816909012869 40.82876353585811),"10,929",50,5,35,27
Q,Temporary Fencing,04/11/2020 07:31:04 PM,Exercise Equipment,Q105,Howard Von Dohlen Playground,Q105,Howard Von Dohlen Playground,COVID-19 Closure,POINT (-73.81297834293106 40.69944018455653),"24,670",41,3,24,61
Q,Completely Locked,04/11/2020 05:35:29 PM,Exercise Equipment,Q174A,St. Michael's Playground,Q174A,St. Michael's Playground,COVID-19 Closure,POINT (-73.90015135152188 40.75898091465637),"14,787",39,3,4,72
B,Blocked with Barricade,04/10/2020 04:57:22 PM,Exercise Equipment,B078,Grace Playground,B078,Grace Playground,COVID-19 Closure,POINT (-73.8944393083876 40.67137474004914),"17,214",45,2,25,47
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B032-ZN01,Fort Greene Park,B032,Fort Greene Park Zone 1,Active,POINT (-73.97571514180618 40.69260838010292),"16,865",68,2,48,55
Q,Completely Locked,04/11/2020 05:51:27 PM,Exercise Equipment,Q098,Frank D. O'Connor Playground,Q098,Frank D. O'Connor Playground,COVID-19 Closure,POINT (-73.88672297251821 40.744247034275055),"14,784",66,3,5,68
