place_id,location,accesslvl,rules
122,"E. Broadway, Henry St., Gouverneur St.",2,Adults not allowed in some locations
123,"W. 145 St. to W. 143 St., Lenox Ave., and Harlem River",0,Adults Allowed
124,Lafayette Ave. bet. Stuyvesant Ave. and Malcom X Blvd.,4,Unknown
125,"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave",4,Adults Allowed
126,Payson & Dyckman Sts,4,Adults Allowed
127,68 St & Central Park West (W),0,Unknown
128,Ave. F bet. McDonald Ave. and E. 2 St.,2,Unknown
129,Manhattan Ave. and Leonard St.,0,Unknown
130,"Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.",4,Adults Allowed
131,"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",4,Adults not allowed in some locations
132,"Vleigh Pl., Main St. bet. 73 Ter. and 76 Ave.",4,Adults not allowed in some locations
133,Bruckner Blvd. bet. Willis Ave. and Brown Pl.,0,Adults Allowed
134,Bay 46 & Cropsey Ave,4,Unknown
135,150th St & Rockaway Blvd,0,Unknown
136,240 St. bet. Braddock Ave. and Fairbury Ave.,2,Unknown
137,Bedford Pk Blvd W And Paul Ave,0,Adults Allowed
138,Greene Ave. bet. Waverly Ave. and Washington Ave.,2,Adults Allowed
139,"Bedford Ave., Gravesend Neck Rd., Ave. V, E. 24 St.",3,Adults Allowed
140,"Vernon Blvd, 40 & 41 Aves",0,Adults not allowed in some locations
141,"S/s W. Houston St., Ave. of Americas",4,Adults not allowed in some locations
142,19 St. bet. 11 Ave. and Seeley St.,4,Adults Allowed
143,"Manhattan College Pkwy, Dash Pl, Greysto",0,Adults not allowed in some locations
144,Not Specified,0,Unknown
145,34 Ave. bet. 77 St. and 78 St.,4,Adults Allowed
146,Ave. Z between Nostrand Ave. and E. 29 St.,2,Adults Allowed
147,Ave. Y between Coyle St. and Batchelder St.,0,Unknown
148,N/o Greene Ave,3,Adults Allowed
149,Story Ave. bet. Taylor Ave. and Thieriot Ave.,4,Adults Allowed
150,Madison Ave. bet. E. 130 St. and E. 131 St.,2,Adults not allowed in some locations
151,"Sharon & Olive Sts, Morgan Ave",4,Adults not allowed in some locations
152,Harbor Rd. at Richmond Terr.,4,Adults Allowed
153,Glenmore Ave. between Powell St. and Sackman St.,3,Adults Allowed
154,"Hope St., Marcy Ave., Metropolitan Ave.",3,Adults Allowed
155,Union St. bet. Barclay Ave. and Sanford Ave.,4,Adults Allowed
156,36 Ave bet. 9 St. and 10 St.,4,Adults Allowed
157,Plimpton Ave. bet. W. 172 St. and  Edward L Grant Hwy.,3,Adults Allowed
158,"Bruckner Exwy, Buhre Ave",0,Adults Allowed
159,"Beechwood Ave., Crescent Ave. and Jersey St.",4,Adults not allowed in some locations
160,"Laurel Hill Blvd., 48 Ave. bet. 63 St. and 64 St.",0,Adults Allowed
161,E. 181 St. bet. Morris Ave. and Creston,2,Unknown
162,Not Specified,0,Unknown
163,E 158 st bet. Eagle Av and Caildwell Av,4,Adults Allowed
164,Not Specified,0,Unknown
165,Fulton Av bet. E 169 St and E 170 St,4,Adults Allowed
166,"197 St., 196 St. bet. 113 Ave. and Murdock Ave.",2,Adults Allowed
167,"Wild Ave, Pearson St",0,Adults not allowed in some locations
168,"Broadway, 37 Ave. bet. 65 St. and 69 St.",4,Adults Allowed
169,Noble Ave. bet. Bronx River Av and  E 177 St,0,Adults Allowed
170,Berry St. between S. 9 St. and S. 10 St.,4,Adults Allowed
171,W. Brighton Ave. between W. 2 St. and W. 3 St.,4,Adults Allowed
172,E. 120 St. bet. 1 Ave. and 2 Ave.,0,Unknown
173,"2 Ave., E. 19 St. To E. 20 St.",2,Adults Allowed
