place_id,propname,subpropname,primarysport,fieldnumber,netsremoved,surfacetype
1550,Marine Park,Lenape Playground,Handball,13,0,Asphalt
1551,Marine Park,Lenape Playground,Handball,10,0,Asphalt
1552,Merriam Playground,Merriam Plgd (Lower),Handball,4,0,Concrete
1553,Flushing Meadows Corona Park,Albert H. Mauro Playground,Handball,10,1,Concrete
1554,Kissena Corridor Park,Captain Mario Fajardo Park,Handball,5,1,Asphalt
1555,Kolbert Playground,N/A,Handball,4,0,Asphalt
1556,Kolbert Playground,N/A,Handball,1,0,Asphalt
1557,Kolbert Playground,N/A,Handball,2,0,Asphalt
1558,Calvert Vaux Park,Calvert Vaux Park Playground,Handball,1,0,Asphalt
1559,Calvert Vaux Park,Calvert Vaux Park Playground,Handball,2,0,Asphalt
1560,Seth Low Playground/ Bealin Square,N/A,Handball,4,0,Asphalt
1561,Seth Low Playground/ Bealin Square,N/A,Handball,1,0,Asphalt
1562,Seth Low Playground/ Bealin Square,N/A,Handball,3,0,Asphalt
1563,John J Carty Park,N/A,Handball,6,0,Asphalt
1564,John J Carty Park,N/A,Handball,3,0,Asphalt
1565,Dyker Beach Park,Dyker Plgd,Handball,16,0,Asphalt
1566,Coffey Park,Coffey Park Playground,Handball,1,0,Asphalt
1567,Coffey Park,Coffey Park Playground,Handball,3,0,Asphalt
1568,St. Mary's Park,St Mary's Playground East,Handball,1,1,Asphalt
1569,St. Mary's Park,St Mary's Playground East,Handball,2,1,Asphalt
1570,Crotona Park,Carter Plgd (7),Handball,10,0,Asphalt
1571,Crotona Park,Carter Plgd (7),Handball,12,0,Asphalt
1572,Claremont Park,Claremont Park,Handball,4,0,Asphalt
1573,Claremont Park,Claremont Park,Handball,1,0,Asphalt
1574,Claremont Park,Claremont Park,Handball,3,0,Asphalt
1575,Crotona Park,Crotona Zone 9,Handball,2,0,Asphalt
1576,Linden Park,Linden Park,Handball,2,0,Asphalt
1577,Linden Park,Linden Park,Handball,4,0,Asphalt
1578,Linden Park,Linden Park,Handball,1,0,Asphalt
1579,Tremont Park,Tremont Plgd (2),Handball,3,0,Asphalt
1580,Tremont Park,Tremont Plgd (2),Handball,2,0,Asphalt
1581,Brower Park,Brower Park,Handball,1,0,Asphalt
1582,El Shabazz Playground,N/A,Handball,2,0,Asphalt
1583,El Shabazz Playground,N/A,Handball,1,0,Asphalt
1584,Bailey Playground,Playground,Handball,5,0,Asphalt
1585,Bailey Playground,Playground,Handball,3,0,Asphalt
1586,Henry Hudson Park,Henry Hudson Playground (West),Handball,1,0,Asphalt
1587,Soundview Park,Soundview Park,Handball,3,0,Asphalt
1588,Soundview Park,Soundview Park,Handball,4,0,Asphalt
1589,Givan Square,Angelo Campanaro Plgd,Handball,1,0,Asphalt
1590,Van Cortlandt Park,Woodlawn Plgd,Handball,2,0,Concrete
1591,Van Cortlandt Park,Van Cortlandt Classic Plgd,Handball,3,0,Concrete
1592,Van Cortlandt Park,Woodlawn Plgd,Handball,1,0,Concrete
1593,Van Cortlandt Park,Van Cortlandt Classic Plgd,Handball,6,0,Concrete
1594,Bailey Playground,Playground,Handball,2,0,Asphalt
1595,Bailey Playground,Playground,Handball,1,0,Asphalt
1596,Bailey Playground,Playground,Handball,6,0,Asphalt
1597,Bailey Playground,Playground,Handball,4,0,Asphalt
1598,Henry Hudson Park,Henry Hudson Playground (West),Handball,2,0,Asphalt
1599,Tremont Park,Tremont Plgd (2),Handball,8,0,Asphalt
