name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Fiorello La Guardia Park,pg,M,2020-05-21 11:07:57,40.72885529880294,-73.99807460777143,COVID-19 Closure,Completely Locked
Dimattina Playground,pg,B,2020-05-21 11:10:20,40.67996906869151,-74.00274430472467,COVID-19 Closure,Completely Locked
L/CPL Thomas P. Noonan Jr. Playground,pg,Q,2020-05-21 11:08:10,40.74114951016331,-73.92226563885282,COVID-19 Closure,Completely Locked
Tilyou Playground,pg,B,2020-05-21 11:10:28,40.577945622610216,-73.95847635254957,COVID-19 Closure,Completely Locked
Hattie Carthan Playground,pg,B,2020-05-21 11:06:46,40.68561922534463,-73.94649928796208,COVID-19 Closure,Completely Locked
Alfred E. Smith Playground,pg,M,2020-05-21 11:07:37,40.71117447078115,-73.99713869035907,COVID-19 Closure,Completely Locked
Police Officer Nicholas Demutiis Park,pg,Q,2020-05-21 11:08:25,40.6816237534203,-73.8394556358225,COVID-19 Closure,Not Lockable
P.S. 279 Playground,pg,B,2020-05-21 11:06:41,40.64462491899789,-73.89329741356441,COVID-19 Closure,Completely Locked
Thomas Jefferson Park Playground,pg,M,2020-05-21 11:07:14,40.79356556327197,-73.93461200611999,COVID-19 Closure,Completely Locked
Bennett Park,pg,M,2020-05-21 11:07:02,40.85321800188917,-73.93801412399652,COVID-19 Closure,Partially Locked
Poseidon Playground,pg,B,2020-05-21 11:06:06,40.57199162234597,-73.99222123120373,COVID-19 Closure,Completely Locked
Rudd Playground,pg,B,2020-05-21 11:05:57,40.68335206662396,-73.90523408122806,COVID-19 Closure,Completely Locked
Latimer Playground,pg,Q,2020-05-21 11:09:06,40.69653831066628,-73.78579784218152,COVID-19 Closure,Not Lockable
Baisley Park South,pg,Q,2020-05-21 11:08:00,40.66921165999442,-73.78813588044004,COVID-19 Closure,Not Lockable
Daniel Boone Playground,pg,X,2020-05-21 11:09:52,40.82964814783355,-73.88600572547502,COVID-19 Closure,Completely Locked
Rappaport Playground,pg,B,2020-05-21 11:06:01,40.637167677209135,-74.00111401126908,COVID-19 Closure,Completely Locked
Tot Lot One Hundred Five,pg,M,2020-05-21 11:07:19,40.80173411354255,-73.97093738345184,COVID-19 Closure,Completely Locked
Harry Maze Playground,pg,B,2020-05-21 11:06:35,40.64304998082743,-73.92340188053244,COVID-19 Closure,Completely Locked
Bland Playground,pg,Q,2020-05-21 11:08:48,40.75820068136691,-73.83128764265511,COVID-19 Closure,Completely Locked
Pena Herrera Playground,pg,B,2020-05-21 11:06:08,40.64939329460278,-74.012165426207,COVID-19 Closure,Completely Locked
Zimmerman Playground,pg,X,2020-05-21 11:09:44,40.86615553574015,-73.86873948234773,COVID-19 Closure,Completely Locked
Van Voorhees Playground,pg,B,2020-05-21 11:05:44,40.68977252409315,-73.99933690756927,COVID-19 Closure,Completely Locked
Fairmount Playground,pg,X,2020-05-21 11:10:24,40.84277947555324,-73.88958619702956,Active,Not Lockable
Ethan Allen Playground,pg,B,2020-05-21 11:06:52,40.65585629660202,-73.88682379786808,COVID-19 Closure,Completely Locked
Wallenberg Plgd,pg,M,2020-05-21 11:07:11,40.852672931483994,-73.92717173043279,COVID-19 Closure,Completely Locked
Duke Park,pg,B,2020-05-21 11:06:56,40.666831592693555,-73.89319536761441,COVID-19 Closure,Completely Locked
Delphin H. Greene Playground,pg,Q,2020-05-21 11:08:45,40.68440268739723,-73.72908520897744,COVID-19 Closure,Partially Locked
