name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Riverside Park Dog Run (105th St),dr,M,2020-04-09 01:40:49,40.80241290468794,-73.97143752826702,COVID-19 Closure,Completely Locked
Peter Detmold Park Dog Run,dr,M,2020-04-09 01:45:08,40.75307460357157,-73.96404574153482,COVID-19 Closure,Completely Locked
Fort Tryon Park Dog Run,dr,M,2020-04-09 02:00:31,40.86175859831907,-73.9319479428552,COVID-19 Closure,Completely Locked
Andrew Haswell Green Dog Run,dr,M,2020-04-09 01:45:31,40.76025285891257,-73.95681169593597,COVID-19 Closure,Completely Locked
J. Hood Wright Park Dog Run,dr,M,2020-04-09 02:00:07,40.84658223549788,-73.94216739728614,COVID-19 Closure,Completely Locked
Highbridge Park Dog Run,dr,M,2020-04-09 02:01:11,40.85594294501651,-73.92485838688533,COVID-19 Closure,Completely Locked
Fishbridge Garden Dog Run,dr,M,2020-04-09 01:23:04,40.709004751776284,-74.00130098894041,COVID-19 Closure,Completely Locked
Corlears Hook Park Dog Run,dr,M,2020-04-09 01:21:27,40.71180167491581,-73.97952355403612,COVID-19 Closure,Completely Locked
Coleman Oval Park Dog Run,dr,M,2020-04-09 01:19:56,40.71101142342385,-73.9932602485311,COVID-19 Closure,Completely Locked
Carl Schurz Park Small Dog Run,dr,M,2020-04-09 01:47:17,40.77388005742016,-73.94392161545069,COVID-19 Closure,Completely Locked
Carl Schurz Park Large Dog Run,dr,M,2020-04-09 01:47:30,40.77423578034849,-73.94398818569034,COVID-19 Closure,Completely Locked
Adam Yauch Park Dog Run,dr,B,2020-04-10 10:35:59,40.692318579736806,-73.99909456278544,COVID-19 Closure,Completely Locked
Owl's Head Park Dog Run,dr,B,2020-04-09 04:11:50,40.64032269487319,-74.03484121554256,COVID-19 Closure,Completely Locked
McGolrick Park Dog Run,dr,B,2020-04-09 02:01:02,40.72330912862327,-73.94360269904811,COVID-19 Closure,Completely Locked
McCarren Park Dog Run,dr,B,2020-04-09 02:01:35,40.720125696745384,-73.95288543603324,COVID-19 Closure,Completely Locked
Hillside Park Dog Run,dr,B,2020-04-10 10:08:19,40.701250077205884,-73.99453031380938,COVID-19 Closure,Completely Locked
Herbert Von King Park Dog Run,dr,B,2020-04-09 02:18:47,40.689857791176486,-73.9478423302862,COVID-19 Closure,Completely Locked
Dyker Beach Park Dog Run,dr,B,2020-04-10 09:48:35,40.61776599011476,-74.02090131707543,COVID-19 Closure,Completely Locked
DiMattina Park Dog Run - North,dr,B,2020-04-10 10:05:03,40.680868637050715,-74.00221265855363,COVID-19 Closure,Completely Locked
Seton Park Dog Run,dr,X,2020-04-17 12:24:00,40.886543383366664,-73.91571286885002,COVID-19 Closure,Completely Locked
Pelham Bay Park Dog Run,dr,X,2020-04-22 01:16:05,40.85055579729691,-73.82108520124311,COVID-19 Closure,Completely Locked
Franz Sigel Park Dog Run,dr,X,2020-04-15 01:38:20,40.822905424019964,-73.92593685731019,COVID-19 Closure,Completely Locked
Frank S. Hackett Park Dog Run,dr,X,2020-04-17 12:07:16,40.90138538631028,-73.9055952933018,COVID-19 Closure,Completely Locked
Ewen Park Dog Run,dr,X,2020-04-17 11:43:46,40.88222335550009,-73.91009514919058,COVID-19 Closure,Completely Locked
