name,type,borough,editdate,latitude,longitude,status,closuretype
North Meadow-Handball-01,af,M,2020-04-08 14:03:00,40.791292001095,-73.95931376091008,COVID-19 Closure,Fully Locked
Handball-08,af,B,2020-04-05 18:48:00,40.57590919269617,-73.94064519783105,COVID-19 Closure,Blocked with Barricade
Handball-06,af,B,2020-04-05 18:48:00,40.5760183499089,-73.94069358149481,COVID-19 Closure,Blocked with Barricade
Handball-09,af,X,2020-04-22 12:17:00,40.86900994648812,-73.79235730249331,COVID-19 Closure,Fully Locked
Handball-04,af,Q,2020-04-04 16:34:00,40.73878042211766,-73.73792180938993,COVID-19 Closure,Fully Locked
Handball-10,af,X,2020-04-22 12:17:00,40.86906031349717,-73.79242387886178,COVID-19 Closure,Fully Locked
Handball-08,af,X,2020-04-22 12:16:00,40.86904451761816,-73.79280136266655,COVID-19 Closure,Fully Locked
Handball-05,af,X,2020-04-22 12:16:00,40.868861860085175,-73.79253608271881,COVID-19 Closure,Fully Locked
Handball-20,af,X,2020-04-06 13:21:00,40.8694935213556,-73.79223190910399,COVID-19 Closure,Fully Locked
Handball-22,af,X,2020-04-06 13:21:00,40.86944067508964,-73.79193222247092,COVID-19 Closure,Fully Locked
Handball-01,af,X,2020-04-22 12:15:00,40.868770347194186,-73.79264433516695,COVID-19 Closure,Fully Locked
Handball-02,af,Q,2020-04-04 16:33:00,40.738749915534974,-73.73779032876304,COVID-19 Closure,Fully Locked
95th St Fields-Handball-02,af,B,2020-04-09 16:16:00,40.613362007877924,-74.03756291652661,COVID-19 Closure,Fully Locked
Handball-03,af,Q,2020-04-05 22:46:00,40.58628032181317,-73.80279389850261,COVID-19 Closure,Blocked with Barricade
95th St Fields-Handball-01,af,B,2020-04-09 16:16:00,40.613433240934796,-74.03761018255348,COVID-19 Closure,Fully Locked
Handball-11,af,X,2020-04-22 12:17:00,40.86915292913776,-73.79254692943249,COVID-19 Closure,Fully Locked
Handball-16,af,X,2020-04-22 12:17:00,40.869289719057434,-73.79249930083836,COVID-19 Closure,Fully Locked
