name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
Oxport Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.69760448528043,-73.97624385732473,Active,N/A
McCarren Park Zone 2 Exercise Equipment,ee,B,2020-04-17 10:39:44,40.72002512270835,-73.95139123902742,COVID-19 Closure,Completely Locked
Cunningham Park Zone 2 Exercise Equipment,ee,Q,2020-04-11 07:21:17,40.729693740059986,-73.77359003192625,Active,N/A
Alley Pond Park Zone 1 Exercise Equipment,ee,Q,2020-04-11 07:14:21,40.73949215306537,-73.73626821207041,COVID-19 Closure,Completely Locked
Sixteen Sycamores Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.68679172680519,-73.9810056827376,Active,N/A
Inwood Hill Park Zone 2 Exercise Equipment,ee,M,2020-04-09 03:22:58,40.8735438456456,-73.92092619021308,Active,N/A
Bronx River Parkway East (South Half) Exercise Equipment,ee,X,2020-04-09 03:24:38,40.88135843429829,-73.86785687192702,Active,N/A
Hunter's Point South Park Zone 2 Exercise Equipment,ee,Q,2020-04-11 05:48:33,40.739425621922614,-73.96159862999801,Active,N/A
Caserta Playground Exercise Equipment,ee,X,2020-04-10 02:23:28,40.837337871100985,-73.85402945321134,COVID-19 Closure,Completely Locked
Chelsea Park Exercise Equipment,ee,M,2020-04-10 01:12:14,40.74994165135954,-74.00072824876388,COVID-19 Closure,Taped Off
London Planetree Playground Exercise Equipment,ee,Q,2020-04-11 06:46:33,40.686139829325434,-73.85324212334196,COVID-19 Closure,Temporary Fencing
Bronx Park Zone 1 Exercise Equipment,ee,X,2020-04-09 03:24:38,40.852440598005614,-73.87018555214237,Active,N/A
Murray Hill Playground Exercise Equipment,ee,Q,2020-04-11 07:27:48,40.76166701382999,-73.81183043181511,COVID-19 Closure,Temporary Fencing
Lafayette Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.59450882940557,-73.98528984420022,Active,N/A
Parade Ground Exercise Equipment,ee,B,2020-04-10 04:00:56,40.65086462836489,-73.96835365164006,Active,N/A
Marcy Playground Exercise Equipment,ee,B,2020-04-10 11:59:53,40.695521393912465,-73.95091349362018,COVID-19 Closure,Partially Locked
Webster Playground Exercise Equipment,ee,X,2020-04-10 10:30:15,40.85938386044433,-73.89289227408571,COVID-19 Closure,Completely Locked
Bloomingdale Playground Exercise Equipment,ee,M,2020-04-09 03:22:58,40.79917221464702,-73.96600104027476,COVID-19 Closure,Completely Locked
Ciccarone Park Exercise Equipment,ee,X,2020-04-10 10:29:33,40.855966189629186,-73.8867043823755,COVID-19 Closure,Completely Locked
Thomas Boyland Park Exercise Equipment,ee,B,2020-04-10 12:28:55,40.68174274121655,-73.90754695317372,COVID-19 Closure,Partially Locked
Stebbins Playground Exercise Equipment,ee,X,2020-04-10 10:12:25,40.822767330766645,-73.89851728719871,COVID-19 Closure,Completely Locked
Cardozo Playground Exercise Equipment,ee,Q,2020-04-11 07:36:24,40.59323900596114,-73.78656811018509,COVID-19 Closure,Completely Locked
West Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.58708392303859,-73.9700708438389,Active,N/A
John Jay Park Exercise Equipment,ee,M,2020-04-14 03:44:24,40.769238835653574,-73.94948322669356,Active,N/A
Macombs Dam Park Exercise Equipment,ee,X,2020-04-10 02:45:24,40.82876353585811,-73.92816909012869,COVID-19 Closure,Temporary Fencing
Howard Von Dohlen Playground Exercise Equipment,ee,Q,2020-04-11 07:31:04,40.69944018455653,-73.81297834293106,COVID-19 Closure,Temporary Fencing
St. Michael's Playground Exercise Equipment,ee,Q,2020-04-11 05:35:29,40.75898091465637,-73.90015135152188,COVID-19 Closure,Completely Locked
Grace Playground Exercise Equipment,ee,B,2020-04-10 04:57:22,40.67137474004914,-73.8944393083876,COVID-19 Closure,Blocked with Barricade
Fort Greene Park Zone 1 Exercise Equipment,ee,B,2020-04-09 03:15:34,40.69260838010292,-73.97571514180618,Active,N/A
Frank D. O'Connor Playground Exercise Equipment,ee,Q,2020-04-11 05:51:27,40.744247034275055,-73.88672297251821,COVID-19 Closure,Completely Locked
Aileen Ryan Rec. Complex Exercise Equipment,ee,X,2020-04-10 02:15:16,40.848386686650926,-73.82354955599097,COVID-19 Closure,Temporary Fencing
Colucci Playground Exercise Equipment,ee,X,2020-04-20 12:02:40,40.8527786197788,-73.83458247992017,COVID-19 Closure,Partially Locked
Century Playground Exercise Equipment,ee,B,2020-04-10 04:48:06,40.577017897150675,-73.97039455950755,COVID-19 Closure,Completely Locked
La Guardia Playground Exercise Equipment,ee,B,2020-04-10 11:36:56,40.71045464988789,-73.95974822474739,COVID-19 Closure,Completely Locked
CPL. Thompson Park Exercise Equipment,ee,R,2020-04-09 03:20:54,40.638064075849634,-74.11885101101721,Active,N/A
Lower Highland Playground Exercise Equipment,ee,Q,2020-04-11 06:23:14,40.68396081226198,-73.88573854218654,COVID-19 Closure,Temporary Fencing
Star Spangled Playground Exercise Equipment,ee,B,2020-04-10 12:26:31,40.69189603258584,-73.95795318223661,COVID-19 Closure,Completely Locked
Tot Lot One Hundred Five Exercise Equipment,ee,M,2020-04-10 11:46:54,40.80175743965775,-73.97095004711657,COVID-19 Closure,Blocked with Barricade
Harris Playground Exercise Equipment,ee,X,2020-04-10 02:22:08,40.87512695638039,-73.89239092602459,COVID-19 Closure,Temporary Fencing
Ambrosini Field Exercise Equipment,ee,X,2020-04-10 02:15:47,40.84450088586157,-73.78339296334069,COVID-19 Closure,Completely Locked
Marie Curie Playground Exercise Equipment,ee,Q,2020-04-11 07:29:31,40.75693569665498,-73.77177875021114,COVID-19 Closure,Blocked with Barricade
157 St Playground Exercise Equipment,ee,Q,2020-04-11 07:31:40,40.68408743516865,-73.7860883963776,COVID-19 Closure,Temporary Fencing
The Big Park Exercise Equipment,ee,R,2020-04-09 03:20:54,40.630809575715524,-74.16451275113033,COVID-19 Closure,Completely Locked
McLaughlin Park Exercise Equipment,ee,B,2020-04-09 03:15:34,40.696514825066025,-73.98604714243562,Active,N/A
Paul Raimonda Playground Exercise Equipment,ee,Q,2020-04-11 05:39:42,40.77280249419432,-73.89744608049097,COVID-19 Closure,Completely Locked
Lincoln Terr Pk/Arthur S Somers Zone 1 Exercise Equipment,ee,B,2020-04-09 03:15:34,40.66591177111679,-73.92734465085397,Active,N/A
Ross Pinetum Exercise Equipment,ee,M,2020-04-10 11:59:36,40.78294918685494,-73.96808279850276,COVID-19 Closure,Blocked with Barricade
St Mary's Park Zone 1 Exercise Equipment,ee,X,2020-04-10 10:04:46,40.810274763845875,-73.91119885443668,COVID-19 Closure,Temporary Fencing
Bayview Playground Exercise Equipment,ee,B,2020-04-09 03:15:34,40.63491240831661,-73.88690984970518,Active,N/A
Alexander Hamilton Playground Exercise Equipment,ee,M,2020-04-10 02:13:47,40.823079155068555,-73.95128561178713,COVID-19 Closure,Completely Locked
Belmont Playground Exercise Equipment,ee,X,2020-04-10 10:28:53,40.85028784349431,-73.8876937082305,COVID-19 Closure,Completely Locked
Waring Plgd Exercise Equipment,ee,X,2020-04-10 02:20:41,40.8604898319416,-73.87145330242687,COVID-19 Closure,Blocked with Barricade
Kolbert Playground Exercise Equipment,ee,B,2020-04-10 03:58:01,40.620075588722564,-73.95800759867898,COVID-19 Closure,Completely Locked
Hamilton Metz Field Exercise Equipment,ee,B,2020-04-10 01:00:51,40.6625664067098,-73.94096520005297,COVID-19 Closure,Completely Locked
Playground 174 Exercise Equipment,ee,X,2020-04-10 02:23:07,40.83434856210142,-73.87776458244035,COVID-19 Closure,Completely Locked
Marine Park Zone 3 Exercise Equipment,ee,B,2020-04-09 03:15:34,40.60408041176194,-73.93544957071985,Active,N/A
Gorman Playground Exercise Equipment,ee,Q,2020-04-11 05:56:45,40.76238428065752,-73.88423696233977,COVID-19 Closure,Temporary Fencing
Yolanda Garcia Park Exercise Equipment,ee,X,2020-04-10 10:26:39,40.82310392036892,-73.91380830169413,COVID-19 Closure,Completely Locked
Bellevue South Park Exercise Equipment,ee,M,2020-04-10 11:52:23,40.740032558826094,-73.97805754866744,COVID-19 Closure,Completely Locked
Tompkins Square Park Exercise Equipment,ee,M,2020-04-10 11:57:46,40.726452065314255,-73.98171294258619,COVID-19 Closure,Completely Locked
Ravenswood Playground Exercise Equipment,ee,Q,2020-04-11 01:21:47,40.76260794158629,-73.93534261177533,COVID-19 Closure,Completely Locked
Kaiser Park Zone 1 Exercise Equipment,ee,B,2020-04-10 04:06:07,40.57856097830441,-73.9946104382313,COVID-19 Closure,Completely Locked
"Phil ""Scooter"" Rizzuto Park Exercise Equipment",ee,Q,2020-04-11 06:56:48,40.69479295148475,-73.82158665651203,COVID-19 Closure,Temporary Fencing
